id,question,ground_truth,response,bleu,meteor,rouge1,rouge2,rougeL,bertscore
7ce016ee2b2530d45a19,"Trong năm 1963, quốc gia nào nhận được viện trợ song phương ròng lớn nhất từ Pháp?","Theo đồ thị, quốc gia có mức viện trợ song phương ròng cao nhất từ Pháp trong năm 1963 là các quốc gia có thu nhập thấp và trung bình.","Trong năm 1963, Cộng hòa Dominica nhận được viện trợ song phương ròng lớn nhất từ Pháp.",0.056190508562920974,0.4058441558441559,0.6086956521739131,0.44776119402985076,0.43478260869565216,0.8061431646347046
96e3e7d134f44eec4ae4,Yếu tố nào có giá trị cao nhất trong đồ thị?,"Yếu tố 'error' có giá trị cao nhất trong đồ thị, đạt khoảng 9.","Yếu tố 'error' có giá trị cao nhất trong đồ thị, khoảng 9.",0.8052253761904355,0.9382276400493084,0.967741935483871,0.896551724137931,0.967741935483871,0.978685736656189
78c47ada03a578717914,Năm nào có số lượng người dùng nhiều nhất?,"Năm 2022 có số lượng người dùng cao nhất, khoảng 19.27 triệu người.","Năm 2022 có số lượng người dùng nhiều nhất, khoảng 19,27 triệu người.",0.5333505353503044,0.8504464285714286,0.9333333333333332,0.8837209302325582,0.9333333333333332,0.9825816750526428
186f68359577767d6791,Chỉ số đất nông nghiệp cao nhất trong tuần nào và đạt bao nhiêu?,Chỉ số đất nông nghiệp cao nhất là khoảng 132 trong tuần 19 (thứ 19).,Chỉ số đất nông nghiệp cao nhất trong tuần 22 đạt khoảng 120.,0.2782095306497951,0.5515986071541626,0.7894736842105262,0.6666666666666667,0.6842105263157895,0.897351861000061
df3b9c74a058389e386c,Giá cổ phiếu BWL-A cao nhất trong năm 2013 là bao nhiêu và vào tháng nào?,"Giá cổ phiếu BWL-A cao nhất trong năm 2013 là khoảng 13,25 USD, vào tháng 12.","Giá cổ phiếu BWL-A cao nhất trong năm 2013 là khoảng 13.0 USD, được ghi nhận vào tháng 10.",0.5613959048116961,0.8638242894056846,0.8461538461538461,0.76,0.8461538461538461,0.9594117403030396
930a50e6213d15274dcc,Từ nào có giá trị cao nhất và bằng bao nhiêu?,"Từ 'drive' có giá trị cao nhất, bằng 8.","Từ 'school' có giá trị cao nhất, khoảng 9.",0.4832697830906221,0.7361111111111112,0.7272727272727273,0.5,0.7272727272727273,0.9302704334259033
bfbbda0d59b5e565c25d,Từ nào có giá trị cao nhất?,"Từ ""span"" có giá trị cao nhất trong số các từ được liệt kê trong biểu đồ.","Từ 'whip' có giá trị cao nhất, khoảng 7.",0.1546733461128846,0.34090909090909094,0.45161290322580644,0.3448275862068966,0.45161290322580644,0.7855945229530334
23e4d909e37bab7345ec,Khoảng thời gian nào trong ngày có nhiều chuyến hạ cánh nhất?,"Khoảng thời gian từ 9 giờ đến 12 giờ có số lượng hạ cánh cao nhất, với 9 chuyến.","Khoảng thời gian từ 9-12 giờ có số lượng chuyến hạ cánh cao nhất, với khoảng 9 chuyến.",0.39046628144367307,0.7643085167027704,0.9259259259259259,0.7692307692307692,0.888888888888889,0.9618654847145081
d5adf37d1f25002e681e,Năm nào có thời gian xây dựng kho hàng lâu nhất?,"Năm 2005 và 2006 có thời gian xây dựng kho hàng lâu nhất, khoảng hơn 110 ngày.","Năm 2009 có thời gian xây dựng kho hàng lâu nhất, khoảng 105 ngày.",0.532039440904694,0.7129491017964071,0.84,0.7500000000000001,0.84,0.9625862240791321
5e3d5ce945bc29b4c733,Thành phố/vùng nào có tỷ lệ tăng trưởng chi phí nhà ở cao nhất?,"Nashville có tỷ lệ tăng trưởng chi phí nhà ở cao nhất, đạt 365%.","Nashville có tỷ lệ tăng trưởng chi phí nhà ở cao nhất, đạt 36%.",0.8091067115702212,0.9268808114961962,0.9375,0.9333333333333333,0.9375,0.9900397658348083
1aa13ca2766358678e87,Tỷ lệ lao động của nam giới ở Eritrea trong năm 1995 là bao nhiêu?,Tỷ lệ nam giới trong độ tuổi 15-24 tham gia lực lượng lao động ở Eritrea năm 1995 khoảng 84%.,Tỷ lệ lao động của nam giới ở Eritrea trong năm 1995 xấp xỉ 60%.,0.04753592195677152,0.4990963855421686,0.6046511627906976,0.2926829268292683,0.41860465116279066,0.8757026195526123
