id,question,ground_truth,response_pretrain,response_finetune,bleu_pretrain,bleu_finetune,meteor_pretrain,meteor_finetune,rouge1_pretrain,rouge1_finetune,rouge2_pretrain,rouge2_finetune,rougeL_pretrain,rougeL_finetune,bertscore_pretrain,bertscore_finetune
7ce016ee2b2530d45a19,"<image>
Trong năm 1963, quốc gia nào nhận được viện trợ song phương ròng lớn nhất từ Pháp?","Theo đồ thị, quốc gia có mức viện trợ song phương ròng cao nhất từ Pháp trong năm 1963 là các quốc gia có thu nhập thấp và trung bình.","Trong năm 1963, quốc gia nhận được viện trợ song phương ròng lớn nhất từ Pháp là Luxembourg.","Trong năm 1963, Cộng hòa Dominica nhận được viện trợ song phương ròng lớn nhất từ Pháp.",0.06424994703628717,0.056190508562920974,0.46590636973180066,0.4058441558441559,0.6666666666666667,0.6086956521739131,0.5074626865671641,0.44776119402985076,0.5217391304347826,0.43478260869565216,0.8460395932197571,0.8061429858207703
96e3e7d134f44eec4ae4,"<image>
Yếu tố nào có giá trị cao nhất trong đồ thị?","Yếu tố 'error' có giá trị cao nhất trong đồ thị, đạt khoảng 9.",Yếu tố có giá trị cao nhất trong đồ thị là 'error'.,"Yếu tố 'error' có giá trị cao nhất trong đồ thị, khoảng 9.",0.4348783281197403,0.8052253761904355,0.7303086523865745,0.9382276400493084,0.8275862068965517,0.967741935483871,0.6666666666666665,0.896551724137931,0.7586206896551724,0.967741935483871,0.8849332928657532,0.978685736656189
78c47ada03a578717914,"<image>
Năm nào có số lượng người dùng nhiều nhất?","Năm 2022 có số lượng người dùng cao nhất, khoảng 19.27 triệu người.",Năm 2022.,"Năm 2022 có số lượng người dùng nhiều nhất, khoảng 19,27 triệu người.",0.006797189858589568,0.5333505353503044,0.19810508182601202,0.8504464285714286,0.24000000000000002,0.9333333333333332,0.17391304347826084,0.8837209302325582,0.24000000000000002,0.9333333333333332,0.71535724401474,0.9825817346572876
186f68359577767d6791,"<image>
Chỉ số đất nông nghiệp cao nhất trong tuần nào và đạt bao nhiêu?",Chỉ số đất nông nghiệp cao nhất là khoảng 132 trong tuần 19 (thứ 19).,Chỉ số đất nông nghiệp cao nhất trong tuần 12 và đạt khoảng 120.,Chỉ số đất nông nghiệp cao nhất trong tuần 22 đạt khoảng 130.,0.2811834897607651,0.2782095306497951,0.5480852402296139,0.5515986071541626,0.7692307692307692,0.7894736842105262,0.6486486486486486,0.6666666666666667,0.6666666666666667,0.6842105263157895,0.8787956237792969,0.8948038220405579
df3b9c74a058389e386c,"<image>
Giá cổ phiếu BWL-A cao nhất trong năm 2013 là bao nhiêu và vào tháng nào?","Giá cổ phiếu BWL-A cao nhất trong năm 2013 là khoảng 13,25 USD, vào tháng 12.",Giá cổ phiếu BWL-A cao nhất trong năm 2013 là 13.0 USD vào tháng 11.,"Giá cổ phiếu BWL-A cao nhất trong năm 2013 là khoảng 13 USD, vào tháng 10.",0.5446492172834368,0.708587641194393,0.7625387433079741,0.8788235294117647,0.8695652173913043,0.9361702127659574,0.7727272727272727,0.888888888888889,0.8695652173913043,0.9361702127659574,0.9686987996101379,0.9816875457763672
930a50e6213d15274dcc,"<image>
Từ nào có giá trị cao nhất và bằng bao nhiêu?","Từ 'drive' có giá trị cao nhất, bằng 8.","Từ ""school"" có giá trị cao nhất và bằng 8.","Từ 'school' có giá trị cao nhất, khoảng 9.",0.317023313852343,0.4832697830906221,0.6490885416666666,0.7361111111111112,0.8695652173913043,0.7272727272727273,0.6666666666666666,0.5,0.8695652173913043,0.7272727272727273,0.9260697364807129,0.9302704334259033
bfbbda0d59b5e565c25d,"<image>
Từ nào có giá trị cao nhất?","Từ ""span"" có giá trị cao nhất trong số các từ được liệt kê trong biểu đồ.","Từ có giá trị cao nhất là ""Span"".","Từ 'whip' có giá trị cao nhất, khoảng 7.",0.15513026626016616,0.1546733461128846,0.5279103234113459,0.34090909090909094,0.5517241379310346,0.45161290322580644,0.44444444444444436,0.3448275862068966,0.48275862068965514,0.45161290322580644,0.8217626810073853,0.7855944633483887
23e4d909e37bab7345ec,"<image>
Khoảng thời gian nào trong ngày có nhiều chuyến hạ cánh nhất?","Khoảng thời gian từ 9 giờ đến 12 giờ có số lượng hạ cánh cao nhất, với 9 chuyến.",Khoảng thời gian từ 9-12 giờ sáng có nhiều chuyến hạ cánh nhất.,"Khoảng thời gian 9-12 giờ có số lượng chuyến hạ cánh cao nhất, với khoảng 9 chuyến.",0.06729251735106702,0.357017083410564,0.39555839364268475,0.709560534538927,0.8085106382978723,0.9056603773584906,0.48888888888888893,0.7058823529411765,0.6808510638297872,0.8679245283018868,0.9003450274467468,0.9498412609100342
d5adf37d1f25002e681e,"<image>
Năm nào có thời gian xây dựng kho hàng lâu nhất?","Năm 2005 và 2006 có thời gian xây dựng kho hàng lâu nhất, khoảng hơn 110 ngày.",Năm 2019 có thời gian xây dựng kho hàng lâu nhất.,"Năm 2009 có thời gian xây dựng kho hàng lâu nhất, khoảng 105 ngày.",0.33786419295334214,0.532039440904694,0.5419222903885481,0.7129491017964071,0.7555555555555556,0.84,0.6976744186046512,0.7500000000000001,0.7555555555555556,0.84,0.8924505114555359,0.9625862240791321
5e3d5ce945bc29b4c733,"<image>
Thành phố/vùng nào có tỷ lệ tăng trưởng chi phí nhà ở cao nhất?","Nashville có tỷ lệ tăng trưởng chi phí nhà ở cao nhất, đạt 365%.",Thành phố/vùng có tỷ lệ tăng trưởng chi phí nhà ở cao nhất là Nashville với 36%.,"Nashville có tỷ lệ tăng trưởng chi phí nhà ở cao nhất, đạt 36%.",0.4636645919987623,0.8091067115702212,0.7614286539906374,0.9268808114961962,0.717948717948718,0.9375,0.6486486486486486,0.9333333333333333,0.6666666666666667,0.9375,0.8972062468528748,0.9900397062301636
