id,question,ground_truth,response,bleu_stablelm,meteor_stablelm,rouge1_stablelm,rouge2_stablelm,rougeL_stablelm,bertscore_stablelm,bleu_vintern,meteor_vintern,rouge1_vintern,rouge2_vintern,rougeL_vintern,bertscore_vintern,delta_bleu,delta_meteor,delta_rouge1,delta_rouge2,delta_rougeL,delta_bertscore
7ce016ee2b2530d45a19,"Trong năm 1963, quốc gia nào nhận được viện trợ song phương ròng lớn nhất từ Pháp?","Theo đồ thị, quốc gia có mức viện trợ song phương ròng cao nhất từ Pháp trong năm 1963 là các quốc gia có thu nhập thấp và trung bình.","Trong năm 1963, nước nào đã nhận được cơ sở trường quốc tế tại Pháp là Thổ Nhĩo (Với) (Vietnam). Vietnam được thay đổi lịch sử và t�",0.01871980086991623,0.25765306122448983,0.5500000000000002,0.17948717948717952,0.3,0.6990700960159302,0.0561905085629209,0.4058441558441559,0.6086956521739131,0.4477611940298507,0.4347826086956521,0.8061431646347046,-0.037470707693004666,-0.14819109461966606,-0.05869565217391293,-0.2682740145426712,-0.13478260869565212,-0.10707306861877441
96e3e7d134f44eec4ae4,Yếu tố nào có giá trị cao nhất trong đồ thị?,"Yếu tố 'error' có giá trị cao nhất trong đồ thị, đạt khoảng 9.","Cau hoi trong đồ thị là vấn đề mạnh mỡ nhất, bao gồm yếu tố đóng dẫn đến giá trị cao nhất trong đồ thị. Ví dụ, giá tr",0.1676784955078518,0.4746835443037974,0.48979591836734687,0.3404255319148936,0.40816326530612246,0.7554778456687927,0.8052253761904355,0.9382276400493084,0.967741935483871,0.896551724137931,0.967741935483871,0.978685736656189,-0.6375468806825837,-0.463544095745511,-0.4779460171165241,-0.5561261922230374,-0.5595786701777485,-0.22320789098739624
78c47ada03a578717914,Năm nào có số lượng người dùng nhiều nhất?,"Năm 2022 có số lượng người dùng cao nhất, khoảng 19.27 triệu người.","Cau hoi: Năm nào có số lượng người dùng nhiều nhất là năm 2020. Trong đó, các trang web, các chương trình mạng lưới và các dịch vụ social media đã",0.09941490945601678,0.3454748376623377,0.4776119402985074,0.27692307692307694,0.4477611940298507,0.7278539538383484,0.5333505353503044,0.8504464285714286,0.9333333333333332,0.8837209302325582,0.9333333333333332,0.9825816750526428,-0.43393562589428764,-0.5049715909090908,-0.45572139303482584,-0.6067978533094812,-0.48557213930348253,-0.25472772121429443
186f68359577767d6791,Chỉ số đất nông nghiệp cao nhất trong tuần nào và đạt bao nhiêu?,Chỉ số đất nông nghiệp cao nhất là khoảng 132 trong tuần 19 (thứ 19).,"To find out the highest grossing agricultural product within a specific week, I will need to access real-time data from reliable sources. As I am an AI language model, I don't have direct access to such data. However, I can provide you with a general idea of how to find this information using available data sources",0.003148013662646501,0.024752475247524754,0.025641025641025644,0.0,0.025641025641025644,0.6141263842582703,0.2782095306497951,0.5515986071541626,0.7894736842105262,0.6666666666666667,0.6842105263157895,0.897351861000061,-0.2750615169871486,-0.5268461319066379,-0.7638326585695006,-0.6666666666666667,-0.6585695006747638,-0.28322547674179077
df3b9c74a058389e386c,Giá cổ phiếu BWL-A cao nhất trong năm 2013 là bao nhiêu và vào tháng nào?,"Giá cổ phiếu BWL-A cao nhất trong năm 2013 là khoảng 13,25 USD, vào tháng 12.","To find the information you're looking for, I will perform the following steps:

1. Search for the highest-priced Vietnamese Black-White Long (BWL) shares in the year 2013.
2. Determine the number of shares that were sold during that time.

Step 1: Searching for the highest",0.004635487482440636,0.07317073170731708,0.05555555555555555,0.0,0.05555555555555555,0.61183100938797,0.5613959048116961,0.8638242894056846,0.8461538461538461,0.76,0.8461538461538461,0.9594117403030396,-0.5567604173292555,-0.7906535576983675,-0.7905982905982906,-0.76,-0.7905982905982906,-0.3475807309150696
930a50e6213d15274dcc,Từ nào có giá trị cao nhất và bằng bao nhiêu?,"Từ 'drive' có giá trị cao nhất, bằng 8.","Cau hoi trong lĩnh vực thị trường có thể gây ra khá khó khai, nhưng trong bối cảnh này, giá trị cao nhất là ""Apple Inc."" (AAPL) với một số giá",0.03511476270817333,0.3231884057971015,0.33962264150943394,0.15686274509803924,0.22641509433962262,0.7108122110366821,0.4832697830906221,0.7361111111111112,0.7272727272727273,0.5,0.7272727272727273,0.9302704334259032,-0.44815502038244875,-0.41292270531400965,-0.38765008576329335,-0.3431372549019608,-0.5008576329331047,-0.21945822238922108
bfbbda0d59b5e565c25d,Từ nào có giá trị cao nhất?,"Từ ""span"" có giá trị cao nhất trong số các từ được liệt kê trong biểu đồ.","Cau hoi trong lĩnh vực thị trường có thể có giá trị cao nhất trong nhiều môi trường và giá trị khác nhau. Ví dụ, trong nhiều ngành và tình trạ",0.16020720994064927,0.32341750259425806,0.41935483870967744,0.19999999999999998,0.3225806451612903,0.7097512483596802,0.1546733461128846,0.3409090909090909,0.4516129032258064,0.3448275862068966,0.4516129032258064,0.7855945229530334,0.005533863827764662,-0.01749158831483283,-0.03225806451612895,-0.1448275862068966,-0.12903225806451607,-0.07584327459335327
23e4d909e37bab7345ec,Khoảng thời gian nào trong ngày có nhiều chuyến hạ cánh nhất?,"Khoảng thời gian từ 9 giờ đến 12 giờ có số lượng hạ cánh cao nhất, với 9 chuyến.",Cau hoi: Khoảng thời gian nào trong ngày có nhiều chuyến hạ cánh nhất là ngày 30 tháng 10 (từ ngày 1 đến ngày 31/1,0.0236661293256479,0.28603830645161293,0.53125,0.2903225806451613,0.40625000000000006,0.7183398604393005,0.390466281443673,0.7643085167027704,0.925925925925926,0.7692307692307692,0.888888888888889,0.961865484714508,-0.36680015211802514,-0.4782702102511575,-0.39467592592592604,-0.47890818858560785,-0.4826388888888889,-0.2435256242752074
d5adf37d1f25002e681e,Năm nào có thời gian xây dựng kho hàng lâu nhất?,"Năm 2005 và 2006 có thời gian xây dựng kho hàng lâu nhất, khoảng hơn 110 ngày.","Cau hoi: Năm nào có thời gian xây dựng kho hàng lâu nhất là một câu trả lời khác nhau, bởi vì sử dụng kho hàng có thể gặp lú",0.24421958958397624,0.4622693854903593,0.6301369863013698,0.4225352112676057,0.5479452054794521,0.7461316585540771,0.532039440904694,0.7129491017964071,0.84,0.7500000000000001,0.84,0.962586224079132,-0.28781985132071775,-0.25067971630604785,-0.20986301369863014,-0.32746478873239443,-0.29205479452054783,-0.21645456552505482
5e3d5ce945bc29b4c733,Thành phố/vùng nào có tỷ lệ tăng trưởng chi phí nhà ở cao nhất?,"Nashville có tỷ lệ tăng trưởng chi phí nhà ở cao nhất, đạt 365%.","To find out which urban area or region has the highest increase in property prices, I will perform a search using reliable sources and data. Here are the steps I will follow:

1. Search for reliable data on property prices in various urban areas or regions.
2. Identify the most recent data available.
3. Compare the",0.003496039269903171,0.053191489361702135,0.0,0.0,0.0,0.5844876766204834,0.8091067115702212,0.9268808114961962,0.9375,0.9333333333333332,0.9375,0.9900397658348083,-0.805610672300318,-0.873689322134494,-0.9375,-0.9333333333333332,-0.9375,-0.40555208921432495
