id,question,ground_truth,response,bleu_seallms,meteor_seallms,rouge1_seallms,rouge2_seallms,rougeL_seallms,bertscore_seallms,bleu_vintern,meteor_vintern,rouge1_vintern,rouge2_vintern,rougeL_vintern,bertscore_vintern,delta_bleu,delta_meteor,delta_rouge1,delta_rouge2,delta_rougeL,delta_bertscore
7ce016ee2b2530d45a19,"Trong năm 1963, quốc gia nào nhận được viện trợ song phương ròng lớn nhất từ Pháp?","Theo đồ thị, quốc gia có mức viện trợ song phương ròng cao nhất từ Pháp trong năm 1963 là các quốc gia có thu nhập thấp và trung bình.","Trong năm 1963, quốc gia nhận được viện trợ song phương ròng lớn nhất từ Pháp là Liên Xô.",0.06424994703628717,0.46590636973180066,0.647887323943662,0.49275362318840576,0.5070422535211268,0.8436881899833679,0.0561905085629209,0.4058441558441559,0.6086956521739131,0.4477611940298507,0.4347826086956521,0.8061431646347046,0.008059438473366272,0.060062213887644766,0.039191671769748915,0.04499242915855506,0.07225964482547464,0.03754502534866333
96e3e7d134f44eec4ae4,Yếu tố nào có giá trị cao nhất trong đồ thị?,"Yếu tố 'error' có giá trị cao nhất trong đồ thị, đạt khoảng 9.","Yếu tố có giá trị cao nhất trong đồ thị là yếu tố có giá trị lớn nhất hoặc có ảnh hưởng lớn nhất đến kết quả của các yếu tố khác. Trong một đồ thị, yếu tố có giá trị cao nhất thường là yếu tố có ảnh hưởng lớn nhất đến kết quả tổng thể của",0.11602404900806976,0.3823731138545953,0.26804123711340205,0.18947368421052632,0.26804123711340205,0.7250915765762329,0.8052253761904355,0.9382276400493084,0.967741935483871,0.896551724137931,0.967741935483871,0.978685736656189,-0.6892013271823658,-0.555854526194713,-0.699700698370469,-0.7070780399274047,-0.699700698370469,-0.25359416007995605
78c47ada03a578717914,Năm nào có số lượng người dùng nhiều nhất?,"Năm 2022 có số lượng người dùng cao nhất, khoảng 19.27 triệu người.",Năm 2019 có số lượng người dùng nhiều nhất trên nền tảng này.,0.20640765449620033,0.3475303164744159,0.6222222222222223,0.4186046511627907,0.5777777777777778,0.8271999955177307,0.5333505353503044,0.8504464285714286,0.9333333333333332,0.8837209302325582,0.9333333333333332,0.9825816750526428,-0.32694288085410406,-0.5029161120970127,-0.3111111111111109,-0.46511627906976744,-0.3555555555555554,-0.1553816795349121
186f68359577767d6791,Chỉ số đất nông nghiệp cao nhất trong tuần nào và đạt bao nhiêu?,Chỉ số đất nông nghiệp cao nhất là khoảng 132 trong tuần 19 (thứ 19).,"Để trả lời câu hỏi này, tôi cần biết cụ thể chỉ số đất nông nghiệp mà bạn đang nói đến là gì. Có nhiều chỉ số khác nhau có thể được sử dụng để đánh giá tình hình đất nông nghiệp, như chỉ số chất lượng đất, chỉ số năng suất cây trồng, hoặc chỉ số",0.010052917730344396,0.13157894736842105,0.26,0.16326530612244897,0.24,0.662278950214386,0.2782095306497951,0.5515986071541626,0.7894736842105262,0.6666666666666667,0.6842105263157895,0.897351861000061,-0.2681566129194507,-0.42001965978574163,-0.5294736842105262,-0.5034013605442178,-0.4442105263157895,-0.23507291078567505
df3b9c74a058389e386c,Giá cổ phiếu BWL-A cao nhất trong năm 2013 là bao nhiêu và vào tháng nào?,"Giá cổ phiếu BWL-A cao nhất trong năm 2013 là khoảng 13,25 USD, vào tháng 12.",Giá cổ phiếu BWL-A cao nhất trong năm 2013 là 15.000 đồng và nó được giao dịch vào ngày 24 tháng 12 năm 2013.,0.3899499205807209,0.7023265196342119,0.6896551724137931,0.5714285714285715,0.6896551724137931,0.8782628178596497,0.5613959048116961,0.8638242894056846,0.8461538461538461,0.76,0.8461538461538461,0.9594117403030396,-0.17144598423097518,-0.16149776977147268,-0.156498673740053,-0.1885714285714285,-0.156498673740053,-0.08114892244338989
930a50e6213d15274dcc,Từ nào có giá trị cao nhất và bằng bao nhiêu?,"Từ 'drive' có giá trị cao nhất, bằng 8.","Từ ""của"" có giá trị cao nhất và bằng 1000 đồng.",0.2224246939793677,0.5245403946702648,0.7200000000000001,0.5217391304347826,0.7200000000000001,0.8642539978027344,0.4832697830906221,0.7361111111111112,0.7272727272727273,0.5,0.7272727272727273,0.9302704334259032,-0.26084508911125437,-0.21157071644084635,-0.0072727272727272085,0.021739130434782594,-0.0072727272727272085,-0.06601643562316883
bfbbda0d59b5e565c25d,Từ nào có giá trị cao nhất?,"Từ ""span"" có giá trị cao nhất trong số các từ được liệt kê trong biểu đồ.","Từ ""của"" có giá trị cao nhất trong các từ có giá trị cao nhất.",0.3582646267789706,0.5980732554159128,0.6666666666666667,0.4864864864864865,0.6666666666666667,0.8506523966789246,0.1546733461128846,0.3409090909090909,0.4516129032258064,0.3448275862068966,0.4516129032258064,0.7855945229530334,0.20359128066608598,0.25716416450682195,0.21505376344086036,0.14165890027958994,0.21505376344086036,0.06505787372589111
23e4d909e37bab7345ec,Khoảng thời gian nào trong ngày có nhiều chuyến hạ cánh nhất?,"Khoảng thời gian từ 9 giờ đến 12 giờ có số lượng hạ cánh cao nhất, với 9 chuyến.","Khoảng thời gian có nhiều chuyến hạ cánh nhất thường là vào buổi sáng sớm hoặc buổi chiều tối. Tuy nhiên, điều này có thể thay đổi tùy thuộc vào các yếu tố như lượng khách hàng, lịch trình bay và các sự kiện đặc biệt diễn ra trong khu vực.",0.012819825042984193,0.25952743902439024,0.36363636363636365,0.18518518518518517,0.2545454545454545,0.7216996550559998,0.390466281443673,0.7643085167027704,0.925925925925926,0.7692307692307692,0.888888888888889,0.961865484714508,-0.37764645640068883,-0.5047810776783802,-0.5622895622895624,-0.584045584045584,-0.6343434343434344,-0.2401658296585082
d5adf37d1f25002e681e,Năm nào có thời gian xây dựng kho hàng lâu nhất?,"Năm 2005 và 2006 có thời gian xây dựng kho hàng lâu nhất, khoảng hơn 110 ngày.",Năm 1980 có thời gian xây dựng kho hàng lâu nhất.,0.33786419295334214,0.5419222903885481,0.7555555555555556,0.6976744186046512,0.7555555555555556,0.8947263360023499,0.532039440904694,0.7129491017964071,0.84,0.7500000000000001,0.84,0.962586224079132,-0.19417524795135188,-0.17102681140785903,-0.08444444444444432,-0.05232558139534893,-0.08444444444444432,-0.06785988807678212
5e3d5ce945bc29b4c733,Thành phố/vùng nào có tỷ lệ tăng trưởng chi phí nhà ở cao nhất?,"Nashville có tỷ lệ tăng trưởng chi phí nhà ở cao nhất, đạt 365%.","Tỷ lệ tăng trưởng chi phí nhà ở cao nhất thường được ghi nhận ở các thành phố lớn và khu vực đô thị phát triển nhanh chóng. Tuy nhiên, để xác định chính xác thành phố hoặc vùng nào có tỷ lệ tăng trưởng cao nhất, cần phải xem xét nhiều yếu",0.16007117882584862,0.5647590361445783,0.30107526881720426,0.26373626373626374,0.2795698924731183,0.735287606716156,0.8091067115702212,0.9268808114961962,0.9375,0.9333333333333332,0.9375,0.9900397658348083,-0.6490355327443725,-0.3621217753516178,-0.6364247311827957,-0.6695970695970694,-0.6579301075268817,-0.25475215911865234
